Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Glenglassaugh 30 year old,"The first release from the new owners of Glenglassaugh distillery is obviously intended as a showpiece expression, and it does not disappoint. Due in the States next year. Damp moss and cedar on the early nose. Sultanas, candied orange, maraschino cherries, and sherry. Treacle notes in time. Spicy fruits, figs, brittle toffee, sherry, and ginger on the mellow yet robust palate. The finish is medium in length, with allspice and old oak, plus a wisp of tarry smoke. £245",91 points,Single Malt Scotch  , Gavin Smith ,  $395.00,Winter 2013,44.8%
Glengoyne Cask Strength (Batch No. 006),"This was matured entirely in sherry wood. Blackcurrants, black pepper, vanilla, caramel, and fruit spices on the nose. Supple on the malty palate, with red berry fruits, nutty sherry, and almonds. The finish is spicy, with black tea and firm oak.",91 points,Single Malt Scotch  , Gavin Smith ,  $80,Fall 2019,59.8%
Murray McDavid 'Mission' (distilled at Glenlivet) 1974,"Deep gold color. Incredibly complex, subtle aromas of vanilla, honey, marshmallow, tropical fruit (pineapple, peaches, coconut), floral notes and a hint of almonds. Medium-full in body, and firm. On the palate, the flavors are complex and exhibit the same notes as the aroma, starting out gently sweet, but gradually becoming fruity and eventually drying out on the finish.",91 points,Single Malt Scotch  , John Hansell ,  $150,Fall 2003,46%
The Glenlivet Nadurra Triumph 1991,"Richly textured with mouth-coating malt that is balanced by an array of lively fruit (fresh peach, nectarine, tangerine, pears in honey, and delicately caramelized pineapple). Creamy caramel, crème brûlée, anise, and subtle toasted marshmallow add complexity, as does its gently spicy, pleasingly dry finish. Two years older than the standard 16 year old Nadurra (which I like for its vibrancy and freshness). This new Triumph 1991 is richer and more textured, with more caramelized sugars, riper barley, and greater fruit impact. More mouth-coating too. (Exclusive to the U.S.)",91 points,Single Malt Scotch  , John Hansell ,  $85,Winter 2009,48%
The Glenlivet Cellar Collection 1980 (bottled 2011),"A vatting of three first-fill American oak casks, for me this is the most lifted and effusive of the ongoing Cellar Collection range. The nose is full of aromas of anise, blackcurrant leaf, honeysuckle, jasmine, frangipani flowers, and a subtle almond sweetness. The palate continues in similar vein with more spice and just sufficient oak to add distinct structure and a coconut character. Sublime. It won’t, however, be released in the U.S. £1,000",91 points,Single Malt Scotch  , Dave Broom ,"  $1,593",Spring 2012,43.3%
Glenmorangie 25 year old,"Quite deep for a Glenmorangie, but still surprisingly balanced. Glenmorangie is a lighter-style spirit and, in the past, some of the older vintage expressions were heavy-handed on the wood. The oak aging is obvious on the nose, but this whisky manages to walk the thin line between enjoying the maturity and depth of an older whisky without too much oak influence.",91 points,Single Malt Scotch  , John Hansell ,  $875,Summer 2008,43%
Glenmorangie Bacalta,"The 8th Private Edition release. This one is finished in sun-baked casks which previously contained Malmsey Madeira. A predominantly sweet and fruity whisky, with caramel, honeyed almonds, peaches in syrup, and orange scone. Soft, soothing finish. Delicious!",91 points,Single Malt Scotch  , John Hansell ,  $100,Spring 2017,46%
Glenmorangie Grand Vintage Malt 1993,"The third release in Glenmorangie’s Bond House No.1 Collection spent 10 years in bourbon casks before being transferred into Bual madeira casks for 15 years of secondary maturation. Spicy nougat and ginger on the nose, stewed apricots, and a hint of bonfire smoke. Viscous on the palate, juicy, with strawberry liqueur chocolates. Spices linger long in the finish, with damsons and dark chocolate. (Travel Retail exclusive)",91 points,Single Malt Scotch  , Gavin Smith ,  $675,Winter 2018,43%
Glenmorangie 14 year old Quinta Ruban,"Orange segments sprinkled with black pepper on the nose, then spicy dark chocolate and coffee with cream. More dark chocolate and Jaffa orange on the palate, plus walnuts, almonds, and marzipan. Lengthy in the finish, with soft spices and continuing dark chocolate.",91 points,Single Malt Scotch  , Gavin Smith ,  $55,Fall 2019,46%
Glenrothes,"The most recent vintage from the 1980s. This whisky is very bright and lively. It dances on the palate with orange, tangerine, and lemon gum drops, balanced by vanilla, light caramel, hint of anise, and delicate oak. A whisky with great finesse and drinkability.",91 points,Single Malt Scotch  , John Hansell ,  $100.00,Winter 2006,43%
The Glenrothes Vintage 2004,"This was matured in American oak sherry-seasoned casks. The nose offers cherry liqueur, sultanas, fruit spice, honey, and new leather. Vanilla and sweet orchard fruits on the early palate, followed by darker berry fruits, soft oak, and a savory note. Cocoa powder and a wisp of smoke in the medium-length finish. (3,150 bottles for U.S.)",91 points,Single Malt Scotch  , Gavin Smith ,  $65,Fall 2018,43%
Highland Park Viking Pride 18 year old,"This is one of four new additions to the portfolio in 2018, and is the pick of the bunch. It is a ‘marrying-strength’ variant of the 18 year old, relaunched in 2017. Treacle tart, sweet woodsmoke, and milky coffee on the robust nose. The palate is voluptuous, with tangy orange, malt, and more woodsmoke. Milk chocolate and smoky Jaffa oranges in the finish. (Travel Retail exclusive)",91 points,Single Malt Scotch  , Gavin Smith ,  $186,Winter 2018,46%
Lagavulin Distillers' Edition 1991 Vintage,"More polished and sophisticated than the comparably sweet and lush Lagavulin 21 year old also reviewed here. The pedro ximinez cask finish certainly gives as much as it takes away when compared to the benchmark 16 year old. An array of complex ripe fruit, interwoven with notes of pot still rum, toffee, tar, seaweed, and brine on the finish. It seems logical to marry this big, smoky Islay whisky with an equally big, sweet, fruity sherry. In this case, the marriage works wonderfully.",91 points,Single Malt Scotch  , John Hansell ,  $100,Summer 2008,43%
Lagavulin,"You want and expect rich and peaty malt from Lagavulin and you get it here in droves, though not in the most obvious way. This version is somewhere between the cask strength 12 year old and the Distiller’s Edition, rather than the standard 16 year old, but it’s an absolute peach and a treat for lovers of this distillery. The nose is constrained and shy at first, with lychee and kiwi fruit offering a sweet and gentle carpet to coastal peaty notes. The palate is big, rich, full, and peppered, with sharp apple and citrus fruits. It benefits from water, too, as there’s a delightful swell of fruit, chili, peat, and soft licorice. As with all great Lagavulins, the tarry peatiness lingers longest in the finish.",91 points,Single Malt Scotch  , Dominic Roskrow ,  $112,Spring 2011,52.5%
Laphroaig 30 year old,"Deep amber color. Wonderfully complex, and nicely balanced aroma and flavor of vanilla sweetness, tarry rope, oak, toffee, seaweed, and brine. Medium to full in body, and creamy in texture, with a finish that doesn't quit.",91 points,Single Malt Scotch  , John Hansell ,  $225,Fall 2002,43%
Laphroaig Quarter Cask,"The whisky begins sweet and creamy, with notes of vanilla, honey, and ripe malt (reminiscent of a malting floor). Then the Laphroaig signature peat smoke, seaweed, tar, and medicinal notes emerge. Bottling at 48% and without chill-filtering keeps the whisky from being dulled down. A whisky that is very dynamic. Nicely done.",91 points,Single Malt Scotch  , John Hansell ,  $50,Summer 2006,48%
Hart Brothers 18 year old (distilled at Laphroaig) 1990 vintage,"Bottled at 46% and not chill-filtered. Smart move! It really helps this whisky. This is a soft — almost elegant — Laphroaig (if that’s not an oxymoron). Very clean, with honeyed malt, ripe barley, brine, seaweed, and peat smoke, with just a teasing of the medicinal, band-aid notes that Laphroaig is known for. The owner-bottled 18 year old, which I rated a 90, is darker and drier, with more oak on the finish. I like this Hart Brothers expression just a little better.",91 points,Single Malt Scotch  , John Hansell ,  $135,Summer 2011,46%
Laphroaig Quarter Cask,"This expression is aged for approximately 5 years in bourbon barrels before spending a final few months in quarter casks. Characteristic tar, engine oil, and ashy peat on the nose. Oily and full on the palate, with sweet grain notes, cinnamon, seaweed, hot peat, and black pepper. The finish is long and powerful, with persistent peat and chili, plus a sprinkling of sea salt.",91 points,Single Malt Scotch  , Gavin Smith ,  $60,Fall 2018,48%
Longmorn 23 year old,"The oldest house bottling of Longmorn to date is non-chill filtered and lavishly presented in a purple casket, which probably accounts for a chunk of the purchase price. The nose is classic Longmorn: soft and sweet, majoring in honey, hazelnuts, caramel, and milk chocolate, while the creamy palate features orchard fruits, ginger, and allspice. The finish is lengthy and softly spiced, with honey, orange, and sweet oak.",91 points,Single Malt Scotch  , Gavin Smith ,  $1450,Spring 2017,48%
The Macallan 18 year old Sherry Oak,"Macallan’s 18 year old expression is, for me, the highlight of its regular sherried range. Deep amber in color. The nose is rich and heavily fruited: fruit cake, mulberry, a little moist gingerbread, the bloody depths of molasses. On the palate, dried fruits — more figgy than raisined — while the natural oiliness in the spirit balances the boisterous tannins from the European oak. A singed note on the finish (an extension of the molasses?) completes the picture. Balanced and complex.",91 points,Single Malt Scotch  , Dave Broom ,  $118,Fall 2011,43%
The Macallan Masters of Photography 1989 (Release 3,"Dark mahogany with ruby glints and a green rim. Lots of highly-polished oak as we move out of the woods and into a silent country estate. Wax polish and masses of whisky rancio. Sherry-soaked oak, dry leaves, currants, and ripe blackberry. Highly concentrated, but the fruits push their way through only lightly-resisting tannins. There’s a hint of smoke and Seville orange bitterness on the finish. My pick of the quartet. Excellent. 285 bottles.",91 points,Single Malt Scotch  , Dave Broom ,"  $2,750",Fall 2012,56.6%
Mortlach 16 year old,"With worm tubs and a fiendishly complex partial-triple distillation, Mortlach has adhered to an old style of making whisky — and older, richer, darker flavors. Big and bold, it is at its best in ex-sherry casks. The nose is meaty (think gravy/beef stock) with fig, raisin, and molasses. In the mouth it’s concentrated, with good grip and a savory sweetness. A cult malt. £41 (Not available in the U.S.)",91 points,Single Malt Scotch  , Dave Broom ,  $65.00,Fall 2011,43%
Mortlach 16 year old Distiller’s Dram,"One of three Mortlachs introduced in 2018, this has much to live up to, as the classic Flora & Fauna Mortlach was also 16 years old. The whisky has been aged entirely in sherry casks. The nose offers malt, gingersnaps, baked apple, and a delicate savory note. Quite full-bodied, with toffee apples, gammon, and old leather on the palate. Cocoa powder and tinned peaches in the finish. Editors’ Choice",91 points,Single Malt Scotch  , Gavin Smith ,  $100,Winter 2018,43.4%
Gordon & MacPhail (distilled at Old Pulteney),"Surprisingly fresh - sanguine even - for its age, and appetizingly aromatic. Fairly light and approachable in body, but always inspiring and pithy. Notes of fresh, seabreeze brine, teasing exotic spices, and tangerine are softened by gently creamy malt notes and hints of coconut and almond. Very delicious and enjoyable anytime.",91 points,Single Malt Scotch  , John Hansell ,  $200.00,Summer 2007,43%
